Objetivo,Nivel,Dias,Tiempo,Rutina
Ganar Musculo,Principiante,3,60,Full-Body Hipertrofia
Ganar Musculo,Principiante,4,60,Torso-Pierna Basico
Perder Grasa,Principiante,3,45,Circuito Quema-Grasa
Perder Grasa,Principiante,4,45,Cardio & Resistencia
Mantenerse,Principiante,2,30,Circuito Basico
Mantenerse,Principiante,3,45,Acondicionamiento General
Ganar Musculo,Intermedio,4,90,Weider Avanzada
Ganar Musculo,Intermedio,5,60,Push-Pull-Legs
Perder Grasa,Intermedio,4,60,Full-Body Quema-Grasa
Perder Grasa,Intermedio,5,60,HIIT & Fuerza
Mantenerse,Intermedio,3,60,Entrenamiento Funcional
Ganar Musculo,Avanzado,4,60,Torso-Pierna Avanzado
Ganar Musculo,Avanzado,5,90,Volumen Avanzado
Perder Grasa,Avanzado,4,60,Cardio & Definicion
Perder Grasa,Avanzado,5,45,MetCon Avanzado
Mantenerse,Avanzado,3,45,Mantenimiento Avanzado
